symbol,listing_date,listing_day_high,listing_day_low,listing_day_close,listing_day_volume,last_updated,status
TENNIND,2025-11-19,517.0,480.1,490.8,101572434.0,2025-12-17 23:14:05,ACTIVE
UTLSOLAR,2025-11-20,230.99,205.25,208.44,17145774.0,2025-12-17 23:14:07,ACTIVE
VIDYAWIRES,2025-12-10,58.45,50.0,53.17,95216157.0,2025-12-17 23:14:08,ACTIVE
WAKEFIT,2025-12-15,203.5,177.0,192.29,47754828.0,2025-12-17 23:14:09,ACTIVE
PARKHOSPS,2025-12-17,165.87,146.93,147.95,41035070.0,2025-12-18 05:36:52,ACTIVE
RUDRA,2025-12-19,29.0,26.22,27.47,256426.0,2025-12-22 04:29:08,ACTIVE
SWANDEF,2025-01-21,37.8,37.8,37.8,7098.0,2025-12-22 04:29:10,ACTIVE
KSHINTL,2025-12-23,370.25,350.0,355.0,4332284.0,2025-12-24 04:22:15,ACTIVE
GKSL,2025-12-30,123.0,102.9,104.54,29869973.0,2025-12-31 04:24:52,ACTIVE
KRISHNADEF,2025-12-30,843.75,800.0,813.8,41789.0,2025-12-31 04:24:58,ACTIVE
ALGOQUANT,2026-01-06,71.01,66.0,69.15,1425674.0,2026-01-07 04:28:14,ACTIVE
BUILDPRO,2026-01-09,898.05,812.55,812.55,297359.0,2026-01-12 04:39:35,ACTIVE
AGARWALEYE,2025-02-04,412.9,370.2,401.65,15635750.0,2026-01-18 13:01:46,ACTIVE
AHCL,2025-09-03,92.5,90.78,91.73,6429647.0,2026-01-18 13:01:47,ACTIVE
AMANTA,2025-09-09,141.75,132.0,141.75,4273222.0,2026-01-18 13:01:48,ACTIVE
EMMVEE,2025-11-18,227.71,207.0,219.4,36063490.0,2026-01-18 13:01:49,ACTIVE
ICICIAMC,2025-12-19,2663.4,2575.0,2585.9,31422557.0,2026-01-18 13:01:51,ACTIVE
ITCHOTELS,2025-01-29,180.0,171.0,171.85,24895079.0,2026-01-18 13:01:52,ACTIVE
LOTUSDEV,2025-08-06,195.8,176.7,195.67,91822808.0,2026-01-18 13:01:53,ACTIVE
NEPHROPLUS,2025-12-17,499.0,463.8,471.25,15351924.0,2026-01-18 13:01:54,ACTIVE
ONESOURCE,2025-01-24,1800.0,1710.0,1710.0,1533351.0,2026-01-18 13:01:55,ACTIVE
RAYMONDREL,2025-07-01,1050.0,950.0,969.2,1113469.0,2026-01-18 13:01:56,ACTIVE
TRUALT,2025-10-03,549.0,512.8,530.95,15118475.0,2026-01-18 13:01:57,ACTIVE
BHARATCOAL,2026-01-19,45.09,40.12,40.58,738039378.0,2026-01-20 04:34:08,ACTIVE
HALDER,2026-01-19,272.37,272.3,272.37,18203.0,2026-01-20 04:34:09,ACTIVE
ADVAIT,2026-01-20,1538.9,1366.8,1391.8,48593.0,2026-01-21 04:33:53,ACTIVE
AMAGI,2026-01-21,356.95,318.0,348.25,26831287.0,2026-01-22 04:37:22,ACTIVE
SHADOWFAX,2026-01-28,119.67,109.0,109.98,28514464.0,2026-01-29 04:58:16,ACTIVE
ARIS,2025-06-25,208.5,171.49,174.38,13200640.0,2026-02-09 05:20:46,ACTIVE
AYE,2026-02-16,133.8,120.55,128.91,9822584.0,2026-02-17 05:13:00,ACTIVE
FRACTAL,2026-02-16,897.3,831.3,847.15,6818588.0,2026-02-17 05:13:01,ACTIVE
KWIL,2026-02-16,31.29,28.31,29.42,49715872.0,2026-02-17 05:13:03,ACTIVE
DCMSIL,2026-02-17,52.21,49.5,52.21,77108.0,2026-02-18 05:14:29,ACTIVE
DSFCL,2026-02-17,52.5,47.5,47.5,79374.0,2026-02-18 05:14:30,ACTIVE
