ipo_symbol,upstox_symbol,name,instrument_key,match_type
JSWCEMENT,JSWCEMENT,JSW CEMENT LIMITED,NSE_EQ|INE718I01012,exact
WAAREEENER,WAAREEENER,WAAREE ENERGIES LIMITED,NSE_EQ|INE377N01017,exact
BELLACASA,BELLACASA,BELLA CASA FASH AND RET L,NSE_EQ|INE344T01014,exact
CRIZAC,CRIZAC,CRIZAC LIMITED,NSE_EQ|INE0S4R01014,exact
PRIMO,PRIMO,PRIMO CHEMICALS LIMITED,NSE_EQ|INE607A01022,exact
GARUDA,GARUDA,GARUDA CONSTRUCT N ENG L,NSE_EQ|INE0JVO01026,exact
JKIPL,JKIPL,JINKUSHAL INDUSTRIES LTD,NSE_EQ|INE1FF001016,exact
OSWALPUMPS,OSWALPUMPS,OSWAL PUMPS LIMITED,NSE_EQ|INE0BYP01024,exact
TIGERLOGS,TIGERLOGS,TIGER LOGISTICS (INDIA) L,NSE_EQ|INE906O01029,exact
HYUNDAI,HYUNDAI,HYUNDAI MOTOR INDIA LTD,NSE_EQ|INE0V6F01027,exact
SHRINGARMS,SHRINGARMS,SHRINGAR HOU OF MANGALS L,NSE_EQ|INE1B3L01017,exact
SOLARWORLD,SOLARWORLD,SOLARWORLD ENERGY SOL LTD,NSE_EQ|INE0TY101024,exact
KMEW,KMEW,KNOWLEDGE MARINE & EN W L,NSE_EQ|INE0CJD01011,exact
ANTHEM,ANTHEM,ANTHEM BIOSCIENCES LTD,NSE_EQ|INE0CZ201020,exact
VIKRAN,VIKRAN,VIKRAN ENGINEERING LTD,NSE_EQ|INE01R501028,exact
FISCHER,FISCHER,FISCHER MEDICAL VENTURE L,NSE_EQ|INE771F01041,exact
EIEL,EIEL,ENVIRO INFRA ENGINEERS L,NSE_EQ|INE0LLY01014,exact
SURAKSHA,SURAKSHA,SURAKSHA DIAGNOSTIC LTD,NSE_EQ|INE877V01027,exact
VMM,VMM,VISHAL MEGA MART LIMITED,NSE_EQ|INE01EA01019,exact
DAMCAPITAL,DAMCAPITAL,DAM CAPITAL ADVISORS LTD,NSE_EQ|INE284H01025,exact
GKENERGY,GKENERGY,GK ENERGY LIMITED,NSE_EQ|INE1AG301022,exact
QUADFUTURE,QUADFUTURE,QUADRANT FUTURE TEK LTD,NSE_EQ|INE0LRY01011,exact
MWL,MWL,MANGALAM WORLDWIDE LTD,NSE_EQ|INE0JYY01011,exact
SAGILITY,SAGILITY,SAGILITY LIMITED,NSE_EQ|INE0W2G01015,exact
FINKURVE,FINKURVE,FINKURVE FINANCIAL SERV L,NSE_EQ|INE734I01027,exact
IGIL,IGIL,INTERNATIO GEMM INS (I) L,NSE_EQ|INE0Q9301021,exact
KRISHIVAL,KRISHIVAL,KRISHIVAL FOODS LIMITED,NSE_EQ|INE0GGO01015,exact
OCCLLTD,OCCLLTD,OCCL LIMITED,NSE_EQ|INE0PK601023,exact
INDIQUBE,INDIQUBE,INDIQUBE SPACES LIMITED,NSE_EQ|INE06ST01018,exact
MOSCHIP,MOSCHIP,MOSCHIP TECHNOLOGIES LTD,NSE_EQ|INE935B01025,exact
SANATHAN,SANATHAN,SANATHAN TEXTILES LIMITED,NSE_EQ|INE0JPD01013,exact
STLNETWORK,STLNETWORK,STL NETWORKS LIMITED,NSE_EQ|INE1VXE01018,exact
URBANCO,URBANCO,URBAN COMPANY LIMITED,NSE_EQ|INE0CAZ01013,exact
STALLION,STALLION,STALLION IND FLUOROCHEM L,NSE_EQ|INE0RYC01010,exact
CARRARO,CARRARO,CARRARO INDIA LIMITED,NSE_EQ|INE0V7W01012,exact
KPEL,KPEL,K.P. ENERGY LIMITED,NSE_EQ|INE127T01021,exact
ADVANCE,ADVANCE,Advance Agrolife Limited,NSE_EQ|INE1B0W01010,exact
